name,handle,date,text,replys,retweets,likes
Morgan Fairchild,@morgfair,2021-07-09 02:44:32+00:00,"Morgan FairchildTrump reportedly 'hates' Ron DeSantis -- who's 'primed to push him off the throne'
rawstory.com
Trump reportedly 'hates' Ron DeSantis -- who's 'primed to push him off the throne'
Gov. Ron DeSantis (R-FL) is walking a tightrope toward a 2024 presidential campaign, as he seeks to become Donald Trump's heir, but Republican insiders say a showdown with the former president is...
594
856
3.3K",594,856,3.3K
MeidasTouch.com,@MeidasTouch,2021-07-09 02:51:15+00:00,"MeidasTouch.comWith your help we took on Trump and won. Then we took back the Senate in Georgia. We won’t rest until our democracy is safe.

We are now less than 5k followers away from our goal. Can you help us hit 600k followers?

Yes          Yes           Yes
                        
614
7.5K
17.2K",614,7.5K,17.2K
Jon Cooper,@joncoopertweets,2021-07-09 03:37:30+00:00,"Jon CooperI didn’t think it was possible for me to despise Trump more than I already did. I was wrong.
Jon Cooper
@joncoopertweets
 · Jul 9
Trump joked about Jamal Khashoggi's grisly murder in phone calls to Saudi prince: report  https://rawstory.com/trump-jamal-khashoggi/…
478
2.8K
10.6K",478,2.8K,10.6K
Patriotic Bacon,@Sassychickie,2021-07-09 10:08:35+00:00,"Patriotic BaconAvenatti, a guy who attempted to put Trump in jail but ended up in jail himself. Aint that a bitch
561
2.1K
14.1K",561,2.1K,14.1K
Scott MacFarlane,@MacFarlaneNews,2021-07-09 10:53:00+00:00,"Scott MacFarlaneJan 6 defendant Paul Hodgkins asks for leniency in new sentencing memo, saying ""It takes courage & strength of character to be the 1st person to step forward""

Then invokes Civil War reference & asks to not be ""cancelled""

Feds: Hodgkins carried Trump flag into well of Senate
444
1.1K
2.2K",444,1.1K,2.2K
Agolf Twitler Slayer,@bblock29,2021-07-09 11:41:16+00:00,"Agolf Twitler SlayerHow many times do Republicans need to recount ballots in AZ until Trump can finally win??
302
292
1.7K",302,292,1.7K
Jim Sciutto,@jimsciutto,2021-07-09 11:57:40+00:00,"Jim SciuttoAs Trump is now openly defending Capitol insurrectionists, will GOP candidates in 2022 and 2024 have to follow suit? Will Jan 6 revisionism, like the Big Lie, be a new litmus test for the Republican Party?
604
2.7K
12K",604,2.7K,12K
Tea Pain,@TeaPainUSA,2021-07-09 15:42:46+00:00,"Tea PainTrump is right.  She is annoyin'.
rawstory.com
Trump is furious with Don Jr's 'annoying' girlfriend: report
According to a report from Politico's Playbook, Donald Trump is furious with Kimberly Guilfoyle -- the girlfriend of oldest son Don Jr. -- and has reportedly told close aides he finds her ""annoying...
341
375
2.1K",341,375,2.1K
Kyle Griffin,@kylegriffin1,2021-07-09 16:30:00+00:00,"Kyle GriffinPlaybook: Aides told Playbook that Trump has been openly griping that his son's girlfriend, Kim Guilfoyle, joined Eric Greitens' Senate campaign. And he's becoming increasingly short with Guilfoyle.

""Trump thinks Greitens is problematic, and that Kim is annoying."" 
@playbookdc
479
581
2.5K",479,581,2.5K
Rep. Lauren Boebert,@RepBoebert,2021-07-09 17:31:15+00:00,"Rep. Lauren Boebert.
@CNN
 gave Michael Avenatti credibility and pushed his hoax against President Trump. He’s a grifter and so is CNN.
789
764
3.8K",789,764,3.8K
